Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases,Month,Day
England,E92000001,Nation,2020-04-26,92,0,92,112467,110203,2264,April,26
South West,E12000009,Region,2020-04-26,11,,,5902,,,April,26
South East,E12000008,Region,2020-04-26,19,,,16128,,,April,26
London,E12000007,Region,2020-04-26,4,,,23833,,,April,26
East of England,E12000006,Region,2020-04-26,0,,,9569,,,April,26
West Midlands,E12000005,Region,2020-04-26,12,,,12052,,,April,26
East Midlands,E12000004,Region,2020-04-26,10,,,6307,,,April,26
Yorkshire and The Humber,E12000003,Region,2020-04-26,18,,,9222,,,April,26
North West,E12000002,Region,2020-04-26,2,,,17483,,,April,26
North East,E12000001,Region,2020-04-26,15,,,7070,,,April,26
Worcestershire,E10000034,Upper tier local authority,2020-04-26,0,,,1047,,,April,26
West Sussex,E10000032,Upper tier local authority,2020-04-26,0,,,1047,,,April,26
Warwickshire,E10000031,Upper tier local authority,2020-04-26,0,,,1054,,,April,26
Surrey,E10000030,Upper tier local authority,2020-04-26,0,,,2434,,,April,26
Suffolk,E10000029,Upper tier local authority,2020-04-26,0,,,936,,,April,26
Staffordshire,E10000028,Upper tier local authority,2020-04-26,9,,,1595,,,April,26
Somerset,E10000027,Upper tier local authority,2020-04-26,0,,,454,,,April,26
Oxfordshire,E10000025,Upper tier local authority,2020-04-26,0,,,1452,,,April,26
Nottinghamshire,E10000024,Upper tier local authority,2020-04-26,0,,,1014,,,April,26
North Yorkshire,E10000023,Upper tier local authority,2020-04-26,7,,,836,,,April,26
Northamptonshire,E10000021,Upper tier local authority,2020-04-26,1,,,990,,,April,26
Norfolk,E10000020,Upper tier local authority,2020-04-26,0,,,1355,,,April,26
Lincolnshire,E10000019,Upper tier local authority,2020-04-26,0,,,781,,,April,26
Leicestershire,E10000018,Upper tier local authority,2020-04-26,2,,,858,,,April,26
Lancashire,E10000017,Upper tier local authority,2020-04-26,0,,,2585,,,April,26
Kent,E10000016,Upper tier local authority,2020-04-26,0,,,3232,,,April,26
Hertfordshire,E10000015,Upper tier local authority,2020-04-26,0,,,2141,,,April,26
Hampshire,E10000014,Upper tier local authority,2020-04-26,5,,,2624,,,April,26
Gloucestershire,E10000013,Upper tier local authority,2020-04-26,1,,,1112,,,April,26
Essex,E10000012,Upper tier local authority,2020-04-26,0,,,2320,,,April,26
East Sussex,E10000011,Upper tier local authority,2020-04-26,13,,,521,,,April,26
Devon,E10000008,Upper tier local authority,2020-04-26,3,,,652,,,April,26
Derbyshire,E10000007,Upper tier local authority,2020-04-26,4,,,1100,,,April,26
Cumbria,E10000006,Upper tier local authority,2020-04-26,0,,,1734,,,April,26
Cambridgeshire,E10000003,Upper tier local authority,2020-04-26,0,,,673,,,April,26
Buckinghamshire,E10000002,Upper tier local authority,2020-04-26,0,,,765,,,April,26
Westminster,E09000033,Upper tier local authority,2020-04-26,0,,,583,,,April,26
Wandsworth,E09000032,Upper tier local authority,2020-04-26,0,,,893,,,April,26
Waltham Forest,E09000031,Upper tier local authority,2020-04-26,0,,,704,,,April,26
Tower Hamlets,E09000030,Upper tier local authority,2020-04-26,1,,,591,,,April,26
Sutton,E09000029,Upper tier local authority,2020-04-26,0,,,651,,,April,26
Southwark,E09000028,Upper tier local authority,2020-04-26,0,,,1160,,,April,26
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-26,0,,,356,,,April,26
