date,Germany,United Kingdom,United States
2020-03-23,59.00%,54.00%,39.00%
2020-03-24,54.00%,57.00%,42.00%
2020-03-25,60.00%,66.00%,38.00%
2020-03-26,58.00%,59.00%,39.00%
2020-03-27,55.00%,65.00%,35.00%
2020-03-28,57.00%,60.00%,41.00%
2020-03-29,59.00%,64.00%,44.00%
2020-03-30,53.00%,62.00%,42.00%
2020-03-31,54.00%,66.00%,38.00%
2020-04-01,53.00%,56.00%,45.00%
2020-04-02,59.00%,56.00%,42.00%
2020-04-03,57.00%,47.00%,41.00%
2020-04-04,62.00%,57.00%,41.00%
2020-04-05,57.00%,43.00%,30.00%
2020-04-06,54.00%,59.00%,30.00%
2020-04-07,58.00%,61.00%,38.00%
2020-04-08,62.00%,59.00%,33.00%
2020-04-09,57.00%,65.00%,42.00%
2020-04-10,55.00%,62.00%,39.00%
2020-04-11,52.00%,60.00%,39.00%
2020-04-12,54.00%,60.00%,39.00%
2020-04-13,49.00%,58.00%,38.00%
2020-04-14,59.00%,50.00%,46.00%
2020-04-15,63.00%,56.00%,37.00%
2020-04-16,57.00%,58.00%,46.00%
2020-04-17,60.00%,59.00%,30.00%
2020-04-18,65.00%,64.00%,25.00%
2020-04-19,59.00%,50.00%,39.00%
2020-04-20,51.00%,52.00%,32.00%
2020-04-21,64.00%,48.00%,34.00%
2020-04-22,58.00%,50.00%,47.00%
2020-04-23,55.00%,48.00%,27.00%
2020-04-24,53.00%,55.00%,36.00%
2020-04-25,54.00%,53.00%,33.00%
2020-04-26,62.00%,55.00%,30.00%
2020-04-27,52.00%,50.00%,42.00%
2020-04-28,50.00%,51.00%,33.00%
2020-04-29,52.00%,53.00%,36.00%
2020-04-30,53.00%,56.00%,41.00%
2020-05-01,59.00%,54.00%,36.00%
2020-05-02,71.00%,52.00%,29.00%
2020-05-03,49.00%,53.00%,28.00%
2020-05-04,56.00%,64.00%,39.00%
2020-05-05,59.00%,53.00%,38.00%
2020-05-06,57.00%,56.00%,38.00%
2020-05-07,61.00%,47.00%,32.00%
2020-05-08,54.00%,42.00%,36.00%
2020-05-09,60.00%,47.00%,33.00%
2020-05-10,55.00%,38.00%,41.00%
2020-05-11,62.00%,43.00%,35.00%
2020-05-12,50.00%,43.00%,32.00%
2020-05-13,53.00%,46.00%,39.00%
2020-05-14,59.00%,46.00%,33.00%
2020-05-15,57.00%,41.00%,39.00%
2020-05-16,53.00%,40.00%,35.00%
2020-05-17,59.00%,44.00%,34.00%
2020-05-18,60.00%,46.00%,35.00%
2020-05-19,53.00%,45.00%,42.00%
2020-05-20,56.00%,36.00%,37.00%
2020-05-21,56.00%,43.00%,36.00%
2020-05-22,58.00%,46.00%,36.00%
2020-05-23,52.00%,36.00%,34.00%
2020-05-24,59.00%,47.00%,43.00%
