Category,Germany,United Kingdom,United States
Restaurant delivery / takeaway,0.15,0.22,0.29
"Hygiene products (e.g. hand sanitizer, toilet paper)",0.11,0.18,0.29
Food and drink delivery (e.g. from supermarket),0.08,0.29,0.25
Household cleaning products,0.07,0.16,0.25
Clothing,0.23,0.22,0.23
Health products (e.g. medicine),0.15,0.13,0.21
Hobby supplies,0.1,0.12,0.14
Books,0.13,0.17,0.13
Games,0.11,0.12,0.12
"Consumer electronics, household appliances, furniture",0.1,0.06,0.11
Video,0.07,0.05,0.1
Music,0.08,0.06,0.09
Magazines & newspapers,0.05,0.06,0.09
Financial products and services,0.05,0.04,0.06
Other,0.02,0.03,0.04
I have not shifted from offline to online purchases for any products or services,0.44,0.31,0.34
